Insee.Com;Nom.Com;POPULATION;densitePopCommune
59537;SAINT-MARTIN-SUR-ECAILLON;519;0.971910112359551
57658;SOUCHT;1080;1.00092678405931
63323;SAINT-BONNET-LE-BOURG;138;0.0687936191425723
89067;CEZY;1123;0.690227412415489
17185;LE GUA;2069;0.550412343708433
2454;LA MALMAISON;417;0.161502711076685
71290;MAZILLE;392;0.410901467505241
28151;FESSANVILLIERS-MATTANVILLIERS;172;0.145025295109612
76012;ANGERVILLE-BAILLEUL;204;0.444444444444444
81305;VABRE;803;0.281754385964912
72255;ROUESSE-VASSE;810;0.254957507082153
35345;TREVERIEN;896;0.730831973898858
66057;CORNEILLA-DE-CONFLENT;467;0.421480144404332
40202;NARROSSE;3178;3.01518026565465
76348;HAUTOT-SAINT-SULPICE;633;0.744705882352941
88284;MANDRAY;603;0.482786228983187
89058;BUSSIERES;134;0.113752122241087
16174;JULIENNE;500;0.78740157480315
60633;THIEULOY-SAINT-ANTOINE;361;1.47950819672131
27698;VITOT;547;1.17381974248927
71518;SERRIERES;284;0.288617886178862
57187;EBLANGE;383;1.16413373860182
59538;SAINT-MOMELIN;454;0.754152823920266
27399;MERCEY;52;0.143646408839779
89101;CHEU;538;0.703267973856209
9335;VILLENEUVE;40;0.0782778864970646
62413;HARNES;12244;11.3056325023084
2B219;PIEDICROCE;119;0.359516616314199
68283;ROMBACH-LE-FRANC;825;0.461926091825308
31093;LE BURGAUD;892;0.36662556514591
57425;LUPPY;566;0.347879532882606
41211;SAINT-GEORGES-SUR-CHER;2585;1.08933839022335
82125;MONTECH;6072;1.21464292858572
94042;JOINVILLE-LE-PONT;18124;79.4912280701754
54430;POMPEY;4848;5.83393501805054
70352;LA MONTAGNE;40;0.0320256204963971
39385;NEUBLANS-ABERGEMENT;530;0.477477477477477
59530;SAINT-AYBERT;358;0.858513189448441
26153;LABOREL;110;0.0464723278411491
18021;BANNEGON;251;0.1171802054155
54079;BLENOD-LES-PONT-A-MOUSSON;4420;4.53798767967146
25536;SAUVAGNEY;164;0.415189873417722
9072;CALZAN;27;0.0665024630541872
29018;BRENNILIS;467;0.229596853490659
88242;HOUEVILLE;42;0.130841121495327
27327;HECTOMARE;228;1.12871287128713
54395;NANCY;104072;69.6599732262383
39015;ARDON;122;0.238747553816047
7169;OZON;391;0.471084337349398
25375;MEREY-SOUS-MONTROND;427;0.399812734082397
27114;BREUILPONT;1201;0.982815057283142
88321;NEUFCHATEAU;6602;2.76813417190776
69042;LA CHAPELLE-SUR-COISE;565;0.848348348348348
2099;BONNESVALYN;243;0.383280757097792
26298;SAINT-CHRISTOPHE-ET-LE-LARIS;397;0.344319167389419
28358;SAINT-PREST;2015;1.19230769230769
25551;SOULCE-CERNAY;122;0.141367323290846
50637;VILLEBAUDON;326;0.565972222222222
47197;NOMDIEU;229;0.181890389197776
50551;SAINT-SAUVEUR-LE-VICOMTE;2195;0.637710633352702
43022;BEAUMONT;276;0.224938875305623
54499;SEICHEPREY;116;0.136310223266745
61341;ECOUVES;1770;0.899847483477377
10159;FRALIGNES;88;0.173570019723866
61497;VALFRAMBERT;1543;1.07826694619147
80263;L'ECHELLE-SAINT-AURIN;55;0.107212475633528
71478;SAINT-ROMAIN-SOUS-VERSIGNY;94;0.0529577464788732
66078;FILLOLS;168;0.188129899216125
